,faila_nosaukums,VISS_KERMENIS,KERMENA_DALAS,GALVA_UN_DALAS,CITI_VARDI,TOTAL,tokens_count,kv_procentos
47,1912AntijaAinaAreStasts,0.076,0.5881,1.0162,0.084,441,24995,1.76
76,1925ZamaicaLucijaKaJanisAgatiPavedaStasts,0.1304,0.8261,0.7391,0.0435,40,2300,1.74
39,1906ZemgaliesuBirutaVitaRozeSkice,0.2439,0.7317,0.5691,0.1626,21,1230,1.71
241,1988NeiburgaAndraPelesNaveStasts,0.0703,0.8671,0.7031,0.0703,73,4267,1.71
208,1973KalninaLaimaBerniUnSapniStasts,0.1444,0.5055,0.9749,0.0722,94,5539,1.7
175,1957ZigmonteDagnijaZeltaPutekliStasts,0.0306,0.7041,0.8572,0.1071,222,13066,1.7
177,1958SvikuleVijaAtcerejasStasts,0.1129,0.9029,0.6208,0.0564,30,1772,1.69
107,1928OzolinaKrauzeTomerTomerStasts,0.2174,0.4348,0.8696,0.1449,23,1380,1.67
42,1907ZemgaliesuBirutaMilestibasVerdzeneStasts,0.0402,0.6836,0.8846,0.0402,41,2487,1.65
45,1908PrusaEmilijaKaCilveksMirst,0.2525,0.3788,0.8838,0.1263,13,792,1.64
103,1928DelleVilmaSaulgriezesStasts,0.0,0.8843,0.6416,0.104,94,5767,1.63
100,1928BaumaneAlijaNotikumsDalderosStasts,0.2028,0.365,0.9327,0.1217,40,2466,1.62
41,1907ZemgaliesuBirutaBulvaraZiedinsStasts,0.1761,0.3522,0.9158,0.1761,46,2839,1.62
252,1996IkstenaNoraVienaDienaVinasMuzaStasti,0.0357,0.7852,0.6424,0.1428,45,2802,1.61
14,1901BrigadereAnnaKņazeIrēnaStasts,0.0815,0.5704,0.7741,0.1833,79,4909,1.61
106,1928NiedraAidaSvetaisVinsStasti,0.0865,0.5669,0.8551,0.0961,167,10408,1.6
214,1975KalninaLaimaTeikaParZeltaTaurinuStasts,0.0852,0.7027,0.8092,0.0,75,4696,1.6
159,1940CuibeMirdzajersStasts,0.0,0.5777,0.8377,0.1733,55,3462,1.59
131,1935AbeleElzaDievinasanaGarstasts,0.1554,0.5335,0.8081,0.0829,305,19305,1.58
232,1984MelgalveValdaBaltaStasts,0.058,0.7541,0.7541,0.0,27,1724,1.57
95,1927PrusaEmilijaDzeltenieSapnuTauriniTelojums,0.1114,0.4454,0.8909,0.1114,28,1796,1.56
216,1977SkeleDainaPilnmenessNaktiTelojums,0.0,0.8481,0.5654,0.1413,22,1415,1.55
209,1974EzeraReginaStressStasts,0.1205,0.4669,0.7983,0.1657,103,6639,1.55
189,1965GubinaIndraLedusSirdsStasts,0.0345,0.6561,0.8287,0.0345,45,2896,1.55
15,1902BirzniekuLatinaMilestibaStasts,0.1815,0.3176,0.8167,0.2269,34,2204,1.54
173,1956RinkuleZemzareDzidraIreneStasts,0.1026,0.5128,0.9231,0.0,30,1950,1.54
163,1945SakseAnnaZirnekliStasts,0.0453,0.653,0.6893,0.1451,169,11026,1.53
186,1964SkipsnaIlzePrerijaStasts,0.0865,0.692,0.5767,0.173,53,3468,1.53
221,1979SkeleDainaRutuDarzinaStasts,0.0585,0.4094,0.7602,0.2924,26,1710,1.52
158,1940BrodeleAnnaMarijaStasts,0.1311,0.4587,0.9174,0.0,23,1526,1.51
172,1956KikureErnaKadasSievietesDienasgramataSkice ,0.1369,0.4106,0.9124,0.0456,33,2192,1.51
12,1901BirzniekuLatinaParsteigumsStasts,0.1483,0.534,0.8009,0.0297,51,3371,1.51
249,1994KotaLaimaRozesFeklenijaiStasts,0.1774,0.5124,0.6307,0.1774,76,5074,1.5
218,1978KalninaLaimaKalnuPilsetinaStasts,0.1103,0.2758,0.7722,0.3309,27,1813,1.49
36,1906ZemgaliesuBirutaNenosutitaVestuleSkice,0.1445,0.7225,0.578,0.0,10,692,1.45
135,1936VankinaElviraSfinksasAcisStasts,0.0,0.569,0.8346,0.0379,38,2636,1.44
116,1929TalmaneEizenijaAsinsdziresStasts,0.3219,0.7153,0.3577,0.0358,40,2796,1.43
210,1974GubinaIndraViensStarsStasts,0.1411,0.5995,0.5466,0.1411,81,5671,1.43
192,1966SvikuleVijaDievietePirtiTelojums,0.075,0.8246,0.2999,0.2249,19,1334,1.42
180,1960IndraneIlzeJaungadaStasts,0.0429,0.7729,0.4294,0.1717,33,2329,1.42
108,1928OzolinaKrauzeZakaSirdsbrinumiCiklopakrogaStasts ,0.0708,0.661,0.5902,0.0944,120,8472,1.42
129,1934GrimmaMartaNeskūpstītāLīgavaStasts,0.1052,0.694,0.5047,0.1052,67,4755,1.41
166,1949BrodeleAnnaMartasDienasgramataStasts,0.0755,0.5665,0.6362,0.1075,477,34421,1.39
215,1976DarbinaAldaBaltieTauriniStasts,0.0945,0.4723,0.5903,0.2361,59,4235,1.39
69,1924TalmaneEizenijaSudrabaNazītisStasts,0.1343,0.4478,0.7613,0.0448,31,2233,1.39
67,1924StundaAnnaMāksliniekaSievaStasts,0.0495,0.1979,1.0886,0.0495,28,2021,1.39
224,1981DzerveDzesijaMilestibasDzeriensStasts,0.032,0.5447,0.6408,0.1602,43,3121,1.38
126,1933VikaHildaNobirusīMagoneStasts,0.0266,0.4526,0.6922,0.213,52,3756,1.38
61,1921ZamaicaLucijaPavasaraSimfonijaTelojums,0.0433,0.6488,0.692,0.0,32,2312,1.38
239,1987RepseGundegaKapteinaMeitinaStasts,0.0371,0.6306,0.7047,0.0,37,2696,1.37
124,1932RogaAusmaKrastiņieteStasts,0.0979,0.367,0.9053,0.0,56,4087,1.37
220,1979CedrinaInaraKustibasSkice,0.2715,0.6335,0.2715,0.181,15,1105,1.36
193,1967VeisbergaBenitaFragmentiTelojums,0.0366,0.3663,0.7692,0.1832,37,2730,1.36
24,1903RumaneSauleiNoejotSkice,0.5656,0.2262,0.5656,0.0,12,884,1.36
219,1978SkipsnaIlzeDzivesBriziStasts,0.3468,0.4239,0.501,0.0771,35,2595,1.35
88,1927GailiteAngelikaBerniTelojums,0.0,0.8453,0.5072,0.0,16,1183,1.35
161,1941BrodeleAnnaTautasDeputateStasts,0.028,0.5607,0.7569,0.0,48,3567,1.35
105,1928NiedraAidaDzervjuDziesmaStasts,0.0628,0.6072,0.6281,0.0419,64,4776,1.34
49,1913GailiteAngelikaAtsvabinasanasStasts,0.317,0.5207,0.4754,0.0226,59,4417,1.34
183,1964BrodeleAnnaZilaisZvirbulisStasts,0.0267,0.5047,0.7263,0.0821,653,48742,1.34
121,1930OzolinaKrauzeBaltaLaimespeliteStasts,0.0817,0.7625,0.4357,0.0545,49,3672,1.33
125,1933FelicitaPliederuZiedaSkice,0.0,0.6645,0.6645,0.0,4,301,1.33
60,1921ZamaicaLucijaPagatnesEnasTelojums,0.4654,0.4654,0.3989,0.0,20,1504,1.33
68,1924TalmaneEizenijaLaimeStasts,0.2448,0.4196,0.6294,0.035,38,2860,1.33
170,1955NesauleAgateTalrunisZvanaStasts,0.0,0.5882,0.3676,0.3676,36,2720,1.32
240,1987ValodzeAijaSolaikuMilasStastsStasts,0.0429,0.6583,0.5152,0.0859,91,6988,1.3
212,1974SkipsnaIlzeUpurisStasts,0.3286,0.4655,0.4107,0.0821,47,3652,1.29
